Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,random_bot,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,-1,1,
2,CNN_bot,placed,LKRH,1,"(0, 2)",2,1,0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,CNN_bot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,-1,1,
4,random_bot,placed,TWRN,12,"(1, 2)",6,1,0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
5,random_bot,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,-1,1,
6,CNN_bot,placed,TWQN,14,"(2, 3)",11,2,0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
7,CNN_bot,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,-1,2,
8,random_bot,placed,LWRN,4,"(2, 0)",8,1,0000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
9,random_bot,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,-1,1,
10,CNN_bot,placed,LKRN,0,"(0, 0)",0,2,1000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
11,CNN_bot,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,-1,4,
12,random_bot,placed,LKQN,2,"(3, 3)",15,1,1000000000000000001000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
13,random_bot,selected,"LITTLE, WHITE, CIRCLE, WITH_HOLE",5,N/A,-1,1,
14,CNN_bot,placed,LWRH,5,"(1, 0)",4,3,1000000000000000001000000000000000000000000000010000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
15,CNN_bot,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,-1,3,
16,random_bot,placed,TKQN,10,"(0, 1)",1,1,1000000000000000001000000000000000000000000000010000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
17,random_bot,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,-1,1,
18,CNN_bot,placed,LWQN,6,"(0, 3)",3,7,1000000000000000001000000000000000000000000000010000000000000000000000001000000000001000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
19,CNN_bot,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,-1,4,
20,random_bot,placed,TKRN,8,"(2, 2)",10,1,1000000000000000001000000000000000000000000000010000000000000000000000001000000000001000000000000001000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
21,random_bot,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,-1,1,
22,CNN_bot,placed,TKRH,9,"(3, 1)",13,6,1000000000000000001000000000000000000000000000010000000000000000000000001000000000001000000000000001000000000000000000000000000000000000001000000000000000000100010000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
23,CNN_bot,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,-1,4,
24,random_bot,placed,LKQH,3,"(1, 1)",5,1,1000000000000000001000000000000000000000000000010000010000000000000000001000000000001000000000000001000000000000000000000000000000000000001000000000000000000100010000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000
